courseSection,courseName,instructor,units,days,startTimes,endTimes,location
BIOL 1B,Information and Evolution L and L,Leilani Miller,4,W,11:45 AM,2:30 PM,RM 3207 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 1B,Information and Evolution L and L,Elizabeth Dahlhoff,4,T,3:50 PM,6:35 PM,RM 3207 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 1B,Information and Evolution L and L,Elizabeth Dahlhoff,4,T,12:15 PM,3:00 PM,RM 3207 Sobrato Campus for Discovery and Innovation (STEM)
BIOL 1B,Information and Evolution L and L,Justen Whittall,4,T Th,10:20 AM,12:00 PM,
BIOL 1B,Information and Evolution L and L,Leilani Miller,4,T Th,8:30 AM,10:10 AM,
CLAS 11A,Cultures and Ideas I (Ancient Spaces),Carolynn Roncaglia,4,M W F,10:30 AM,11:35 AM,Rm 101 Alameda hall
CLAS 11A,Cultures and Ideas I (Creating Barbarians),Nicholas Lindberg,4,M W F,1:00 PM,2:05 PM,Rm 008 Casa Italiana Residence
MATH 8,Introduction to Statistics,Corey Irving,4,M W F,6:00 PM,7:05 PM,Rm 105 O'Connor Hall
MATH 8,Introduction to Statistics,,4,M W F,3:30 PM,4:35 PM,Rm 207 O'Connor Hall
MATH 8,Introduction to Statistics,,4,M W F,2:15 PM,3:20 PM,Rm 207 O'Connor Hall
MATH 8,Introduction to Statistics,Robert Bekes,4,M W F,10:30 AM,11:35 AM,Rm 207 O'Connor Hall
ENGR 1,Introduction to Engineering,,1,T,12:10 PM,1:15 PM,
CLAS 21,Greek Myth in Introductory Greek,Daniel Turkeltaub,4,M W F,11:45 AM,12:50 PM,Rm 015 O'Connor Hall
CLAS 60,Ancient Monuments: Pyramids,,4,T Th,3:50 PM,5:30 PM,Rm 119 Music And Dance
CLAS 62,Sex and Religion in Ancient Greece: Ancient Eros,John Heath,4,M W F,1:00 PM,2:05 PM,Rm 209 O'Connor Hall
CLAS 101,Intermediate Latin,John Heath,5,M W F,10:30 AM,11:35 AM,Rm 015 O'Connor Hall
MATH 9,Precalculus,Luvreet Sangha,4,M W F,4:45 PM,5:50 PM,Rm 105 O'Connor Hall
MATH 9,Precalculus,Luvreet Sangha,4,M W F,3:30 PM,4:35 PM,Rm 105 O'Connor Hall
MATH 9,Precalculus,,4,M W F,3:30 PM,4:35 PM,Rm 107 O'Connor Hall
MATH 9,Precalculus,Joshua Grice,4,M W F,2:15 PM,3:20 PM,Rm 105 O'Connor Hall
MATH 9,Precalculus,,4,M W F,2:15 PM,3:20 PM,Rm 106 O'Connor Hall
MATH 9,Precalculus,Luvreet Sangha,4,M W F,1:00 PM,2:05 PM,Rm 106 O'Connor Hall
MATH 9,Precalculus,Phillip Jedlovec,4,M W F,11:45 AM,12:50 PM,Rm 207 O'Connor Hall
MATH 9,Precalculus,,4,M W F,10:30 AM,11:35 AM,Rm 107 O'Connor Hall
MATH 9,Precalculus,Laurie Poe,4,M W F,10:30 AM,11:35 AM,Rm 105 O'Connor Hall
MATH 9,Precalculus,Laurie Poe,4,M W F,9:15 AM,10:20 AM,Rm 105 O'Connor Hall
MATH 9,Precalculus,,4,M W F,8:00 AM,9:05 AM,Rm 107 O'Connor Hall
CLAS 107,Archaic Greek History: Scientists and Spartans,Nicholas Lindberg,5,M W F,10:30 AM,11:35 AM,Rm 104 Alameda hall
CLAS 120,The Legacy of Rome,,5,M W F,2:15 PM,3:20 PM,Rm 302 Alumni Science Hall
CLAS 134,Roman Letters,,5,,,,
CLAS 155,Plato,,5,,,,
COMM 1,Interpersonal Communication Studies,Charlotta Kratz,4,M W F,2:15 PM,3:20 PM,Rm 133 Vari Hall
COMM 1,Interpersonal Communication Studies,Paul Soukup,4,M W F,10:30 AM,11:35 AM,Rm 133 Vari Hall
COMM 1,Interpersonal Communication Studies,. Sunwolf,4,T Th,12:10 PM,1:50 PM,Rm 133 Vari Hall
COMM 2,Public Speaking,,4,M W F,9:15 AM,10:20 AM,Rm 007 Casa Italiana Residence
COMM 2,Public Speaking,,4,M W F,11:45 AM,12:50 PM,Rm 105 Alameda hall
COMM 2,Public Speaking,Andrew Ishak,4,M W F,1:00 PM,2:05 PM,Rm 125 Heafey Hall
MATH 9L,Precalculus Laboratory,Reza Shariatmadari,1,W,4:45 PM,6:25 PM,Rm 207 Daly Science 200
MATH 9L,Precalculus Laboratory,,1,W,3:30 PM,5:15 PM,
MATH 9L,Precalculus Laboratory,Luvreet Sangha,1,T,2:00 PM,3:40 PM,
MATH 9L,Precalculus Laboratory,,1,T,2:00 PM,3:40 PM,
MATH 9L,Precalculus Laboratory,Luvreet Sangha,1,T,10:20 AM,12:00 PM,
MATH 9L,Precalculus Laboratory,,1,T,10:20 AM,12:00 PM,
MATH 9L,Precalculus Laboratory,Linda Burks,1,T,10:20 AM,12:00 PM,
MATH 9L,Precalculus Laboratory,Linda Burks,1,T,8:30 AM,10:10 AM,Rm 103 O'Connor Hall
MATH 9L,Precalculus Laboratory,,1,Th,3:50 PM,5:30 PM,Rm 103 O'Connor Hall
MATH 9L,Precalculus Laboratory,Joshua Grice,1,Th,3:50 PM,5:20 PM,
MATH 9L,Precalculus Laboratory,Joshua Grice,1,Th,2:00 PM,3:40 PM,Rm 201 O'Connor Hall
MATH 9L,Precalculus Laboratory,,1,Th,2:00 PM,3:40 PM,Rm 109 O'Connor Hall
MATH 9L,Precalculus Laboratory,Mehdi Ahmadi,1,Th,2:00 PM,3:40 PM,Rm 102 O'Connor Hall
MATH 9L,Precalculus Laboratory,Mehdi Ahmadi,1,Th,10:20 AM,12:00 PM,Rm 201 O'Connor Hall
MATH 9L,Precalculus Laboratory,Phillip Jedlovec,1,Th,10:20 AM,12:00 PM,Rm 103 O'Connor Hall
MATH 9L,Precalculus Laboratory,Phillip Jedlovec,1,Th,8:30 AM,10:10 AM,Rm 103 O'Connor Hall
MATH 9L,Precalculus Laboratory,Reza Shariatmadari,1,M,4:45 PM,6:25 PM,Rm 207 Daly Science 200
MATH 9L,Precalculus Laboratory,,1,M,3:30 PM,5:15 PM,
COMM 3,Digital Storytelling,Lisa Davis,4,M W F,3:30 PM,4:35 PM,
COMM 3,Digital Storytelling,Charlotta Kratz,4,M W F,10:30 AM,11:35 AM,
COMM 3,Digital Storytelling,Emily Reese,4,M W F,11:45 AM,12:50 PM,
COMM 4,Approaches to Communication Research,,4,T Th,10:20 AM,12:00 PM,Rm 135 Vari Hall
COMM 4,Approaches to Communication Research,Justin Boren,4,T Th,3:50 PM,5:30 PM,
MATH 11,Calculus and Analytic Geometry I,,4,M W F,2:15 PM,3:20 PM,Rm 304 Kenna Hall
MATH 11,Calculus and Analytic Geometry I,,4,M W F,1:00 PM,2:05 PM,Rm 306 Lucas Hall
MATH 11,Calculus and Analytic Geometry I,Mehdi Ahmadi,4,M W F,1:00 PM,2:05 PM,Rm 107 O'Connor Hall
MATH 11,Calculus and Analytic Geometry I,Mehdi Ahmadi,4,M W F,11:45 AM,12:50 PM,Rm 107 O'Connor Hall
MATH 11,Calculus and Analytic Geometry I,Dennis Smolarski,4,M W F,8:00 AM,9:05 AM,Rm 207 O'Connor Hall
MATH 11,Calculus and Analytic Geometry I,,4,M W F,8:00 AM,9:05 AM,Rm 205 O'Connor Hall
MATH 11,Calculus and Analytic Geometry I,Linda Burks,4,M W F,8:00 AM,9:05 AM,Rm 206 O'Connor Hall
COMM 10,Comm Research Methods,Hsin-I Cheng,4,M W F,1:00 PM,2:05 PM,Rm 204 O'Connor Hall
COMM 12,Technology and Communication,,4,M W F,8:00 AM,9:05 AM,
MATH 12,Calculus and Analytic Geometry II,Dennis Smolarski,4,M W F,1:00 PM,2:05 PM,Rm 120 Alumni Science Hall
MATH 12,Calculus and Analytic Geometry II,Mona Musa,4,M W F,1:00 PM,2:05 PM,Rm 105 O'Connor Hall
MATH 12,Calculus and Analytic Geometry II,Mona Musa,4,M W F,11:45 AM,12:50 PM,Rm 105 O'Connor Hall
MATH 12,Calculus and Analytic Geometry II,Reza Shariatmadari,4,M W F,10:30 AM,11:35 AM,Rm 207 Daly Science 200
MATH 12,Calculus and Analytic Geometry II,Mona Musa,4,M W F,9:15 AM,10:20 AM,Rm 206 O'Connor Hall
MATH 12,Calculus and Analytic Geometry II,,4,M W F,9:15 AM,10:20 AM,
MATH 12,Calculus and Analytic Geometry II,Phillip Jedlovec,4,M W F,8:00 AM,9:05 AM,Rm 104 O'Connor Hall
MATH 12H,Calc and Analytic Geom II: Honors,Shamil Asgarli,4,M W F,1:00 PM,2:05 PM,Rm 307 Lucas Hall
MATH 13,Calculus and Analytic Geometry III,Corey Irving,4,M W F,3:30 PM,4:35 PM,Rm 104 O'Connor Hall
MATH 13,Calculus and Analytic Geometry III,Corey Irving,4,M W F,2:15 PM,3:20 PM,Rm 104 O'Connor Hall
MATH 13,Calculus and Analytic Geometry III,Robert Bekes,4,M W F,1:00 PM,2:05 PM,Rm 206 O'Connor Hall
MATH 13,Calculus and Analytic Geometry III,,4,M W F,1:00 PM,2:05 PM,RM 2302 Sobrato Campus for Discovery and Innovation (STEM)
MATH 13,Calculus and Analytic Geometry III,,4,M W F,10:30 AM,11:35 AM,Rm 116 Bergin Hall
MATH 13,Calculus and Analytic Geometry III,,4,M W F,9:15 AM,10:20 AM,Rm 207 O'Connor Hall
MATH 13H,Calculus and Analytic Geometry III: Honors,Michael Hartglass,4,M W F,3:30 PM,4:35 PM,Rm 206 O'Connor Hall
MATH 14,Calculus and Analytic Geometry IV,,4,M W F,2:15 PM,3:20 PM,Rm 206 O'Connor Hall
MATH 14,Calculus and Analytic Geometry IV,Mehdi Ahmadi,4,M W F,2:15 PM,3:20 PM,Rm 107 O'Connor Hall
MATH 14,Calculus and Analytic Geometry IV,,4,M W F,1:00 PM,2:05 PM,Rm 205 O'Connor Hall
MATH 14,Calculus and Analytic Geometry IV,Norman Paris,4,M W F,9:15 AM,10:20 AM,Rm 106 O'Connor Hall
MATH 14,Calculus and Analytic Geometry IV,Norman Paris,4,M W F,8:00 AM,9:05 AM,Rm 106 O'Connor Hall
MATH 30,Calculus for Business I,Mary Long,4,M W F,4:45 PM,5:50 PM,Rm 106 O'Connor Hall
MATH 30,Calculus for Business I,Joshua Grice,4,M W F,4:45 PM,5:50 PM,Rm 207 O'Connor Hall
MATH 30,Calculus for Business I,Mary Long,4,M W F,3:30 PM,4:35 PM,Rm 106 O'Connor Hall
MATH 30,Calculus for Business I,Norman Paris,4,M W F,11:45 AM,12:50 PM,Rm 206 O'Connor Hall
MATH 30,Calculus for Business I,,4,M W F,10:30 AM,11:35 AM,Rm 205 O'Connor Hall
MATH 30,Calculus for Business I,,4,M W F,9:15 AM,10:20 AM,Rm 104 O'Connor Hall
ENGR 1,Introduction to Engineering,Jessica Kuczenski,1,M,11:45 AM,12:50 PM,
ENGR 1,Introduction to Engineering,Jessica Kuczenski,1,W,11:45 AM,12:50 PM,
MATH 31,Calculus for Business II,Reza Shariatmadari,4,M W F,2:15 PM,3:20 PM,Rm 207 Daly Science 200
MATH 31,Calculus for Business II,Reza Shariatmadari,4,M W F,1:00 PM,2:05 PM,Rm 207 Daly Science 200
MATH 31,Calculus for Business II,,4,M W F,1:00 PM,2:05 PM,Rm 207 O'Connor Hall
MATH 31,Calculus for Business II,Mary Long,4,M W F,11:45 AM,12:50 PM,Rm 205 O'Connor Hall
HIST 30,French Revolution,Naomi Andrews,4,T Th,3:50 PM,5:30 PM,Rm 204 O'Connor Hall
MATH 35,Calculus for Life Sciences I,,4,M W F,4:45 PM,5:50 PM,Rm 104 O'Connor Hall
MATH 35,Calculus for Life Sciences I,,4,M W F,3:30 PM,4:35 PM,Rm 205 O'Connor Hall
MATH 102,Advanced Calculus,,5,M W F,9:15 AM,10:20 AM,
HIST 63,Central America,Mateo Carrillo,4,M W F,2:15 PM,3:20 PM,Rm 201 O'Connor Hall
MATH 103,Advanced Linear Algebra,Michael Hartglass,5,M W F,1:00 PM,2:05 PM,RM 1302 Sobrato Campus for Discovery and Innovation (STEM)
HIST 96A,The United States,Gregory Wigmore,4,T Th,2:00 PM,3:40 PM,Rm 209 O'Connor Hall
ENGR 1L,Introduction to Engineering Lab,Jessica Kuczenski,1,Th,9:15 AM,12:00 PM,
HIST 96B,Globalization,Sonia Gomez,4,M W F,10:30 AM,11:35 AM,Rm 107 Kenna Hall
MATH 122,Probability and Statistics I,Daniel Ostrov,5,M W F,11:45 AM,12:50 PM,Rm 106 O'Connor Hall
MATH 122,Probability and Statistics I,Daniel Ostrov,5,M W F,10:30 AM,11:35 AM,Rm 106 O'Connor Hall
MATH 122,Probability and Statistics I,Sarah McGinley,5,M W F,9:15 AM,10:20 AM,Rm 205 O'Connor Hall
HIST 163,Cuba and the Caribbean,Mateo Carrillo,5,M W F,10:30 AM,11:35 AM,Rm 105 Alameda hall
MATH 178,Cryptography,Shamil Asgarli,5,M W F,10:30 AM,11:35 AM,Rm 206 O'Connor Hall
HIST 186,California,,5,M W F,9:15 AM,10:20 AM,Rm 119 Music And Dance
MATH 190,Upper Division Seminar,Shamil Asgarli,5,,,,
HIST 186,California,,5,M W F,10:30 AM,11:35 AM,Rm 109 O'Connor Hall
FREN 101,Introduction to Literary and Cultural Analysis,Jeffrey Burkholder,5,M W F,2:15 PM,3:20 PM,Rm 007 Casa Italiana Residence
ENVS 11A,Cultures and Ideas I (Nature and Imagination),Theodore Grudin,4,M W F,1:00 PM,2:05 PM,Rm 163 Graham Hall
ENVS 12A,Cultures and Ideas II (Nature and Colonialism),Theodore Grudin,4,M W F,10:30 AM,11:35 AM,Rm 209 O'Connor Hall
COEN 160,Object-Oriented Analysis,,4,M W F,9:15 AM,10:20 AM,Rm 109 O'Connor Hall
FREN 100B,Intro French Cultural Analysis,Jeffrey Burkholder,5,M W F,10:30 AM,11:35 AM,Rm 008 Casa Italiana Residence
LEAD 1,LEAD Seminar,,2,T,12:10 PM,1:50 PM,
COEN 160L,Object-Oriented Analysis,,1,M,2:15 PM,5:00 PM,Rm 106 Heafey Hall
ENVS 22,Introduction to Environmental Studies,Carolyn Trist,4,M W F,2:15 PM,3:20 PM,Rm 306 Kenna Hall
LEAD 1,LEAD Seminar,,2,T,10:20 AM,12:00 PM,
FREN 197,Special Topics,,5,M W,3:30 PM,5:15 PM,Rm 231 Mayer Theatre
LEAD 1,LEAD Seminar,,2,W,3:30 PM,5:15 PM,
ENVS 50,World Geography,Carolyn Trist,4,M W F,3:30 PM,4:35 PM,Rm 306 Kenna Hall
LEAD 1,LEAD Seminar,,2,Th,2:00 PM,3:40 PM,Rm 232 Vari Hall
COEN 161,Web Development,Arman Elahi,4,M W F,8:00 AM,9:05 AM,RM 3301 Sobrato Campus for Discovery and Innovation (STEM)
ENVS 100,Introduction to Capstone,Christopher Bacon,2,T,2:00 PM,3:40 PM,
ENVS 100,Introduction to Capstone,Charles Gabbe,2,T,3:50 PM,5:30 PM,Rm 206 Edward M. Dowd Art & Art History
ENVS 100,Introduction to Capstone,Iris Stewart-Frey,2,W,3:50 PM,5:30 PM,
COEN 161L,Web Development Lab,Arman Elahi,1,Th,2:15 PM,5:00 PM,
ENVS 116,Introduction to Geographic Information Systems (GIS),John Dialesandro,5,T Th,12:10 PM,1:50 PM,Rm 206 Edward M. Dowd Art & Art History
ENGR 1L,Introduction to Engineering Lab,Jessica Kuczenski,1,T,9:15 AM,12:00 PM,
ENVS 122,Environmental Politics and Policy,,5,,,,
ENVS 185,Garbology,Stephanie Hughes,5,T Th,3:50 PM,5:30 PM,Rm 105 Alameda hall
LEAD 1,LEAD Seminar,,2,Th,12:10 PM,1:50 PM,Rm 122 Heafey Hall
ENVS 188,Environmental Colloquium,Charles Gabbe,1,W,11:45 AM,12:50 PM,
LEAD 18,Success in Life and Work,,2,Th,12:10 PM,1:50 PM,Rm 104 Alameda hall
ENVS 195,SLURP: Sust Lvng Ugrd Rsch Proj,,2,T,5:40 PM,7:20 PM,Rm 210 O'Connor Hall
LEAD 19,Exploring Law School,,2,T,3:50 PM,5:30 PM,Rm 122 Edward M. Dowd Art & Art History
ETHN 5,Introduction to the Study of Race and Ethnicity in the United States,Allia Griffin,4,M W F,1:00 PM,2:05 PM,Rm 107 Kenna Hall
ETHN 5,Introduction to the Study of Race and Ethnicity in the United States,Allia Griffin,4,M W F,11:45 AM,12:50 PM,Rm 107 Kenna Hall
ETHN 20,Introduction to Chicana/o/x and Latina/o/x Studies,Anna Sampaio,4,T Th,12:10 PM,1:50 PM,Rm 308 Kenna Hall
ETHN 20,Introduction to Chicana/o/x and Latina/o/x Studies,Jesica Fernandez,4,T Th,8:30 AM,10:10 AM,Rm 134 Vari Hall
ETHN 30,Introduction to African American Studies,Sakina Hughes,4,M W F,1:00 PM,2:05 PM,Rm 134 Vari Hall
ETHN 30,Introduction to African American Studies,Anthony Hazard,4,T Th,12:10 PM,1:50 PM,
ETHN 40,Introduction to Asian American Studies,James Lai,4,T Th,10:20 AM,12:00 PM,Rm 308 Kenna Hall
ETHN 127,Race and Mass Incarceration,Allia Griffin,5,M W F,2:15 PM,3:20 PM,
ENGR 1L,Introduction to Engineering Lab,Jessica Kuczenski,1,T,9:15 AM,12:00 PM,
ETHN 165,Community Based Rsch Methods,Jesica Fernandez,5,T Th,10:20 AM,12:00 PM,Rm 232 Vari Hall
ENGR 1L,Introduction to Engineering Lab,,1,T,2:15 PM,5:00 PM,
ETHN 180,RaceVotingCampaigns and Elections,Anna Sampaio,5,T Th,3:50 PM,5:30 PM,Rm 109 Kenna Hall
ENGR 1L,Introduction to Engineering Lab,,1,T,2:15 PM,5:00 PM,
ENGR 1L,Introduction to Engineering Lab,Jessica Kuczenski,1,Th,9:15 AM,12:00 PM,
ENGR 1L,Introduction to Engineering Lab,,1,Th,2:15 PM,5:00 PM,
ENGR 1L,Introduction to Engineering Lab,,1,Th,2:10 PM,5:00 PM,
ACTG 11,Introduction to Financial Accounting,Christopher Paisley,4,T Th,5:40 PM,7:20 PM,
ACTG 11,Introduction to Financial Accounting,Christopher Paisley,4,T Th,3:50 PM,5:30 PM,Rm 207 Lucas Hall
ACTG 11,Introduction to Financial Accounting,Michael Calegari,4,M W F,10:30 AM,11:35 AM,Rm 306 Lucas Hall
ACTG 11,Introduction to Financial Accounting,Michael Calegari,4,M W F,9:15 AM,10:20 AM,Rm 306 Lucas Hall
ACTG 11,Introduction to Financial Accounting,Amanda Badger,4,T Th,12:10 PM,1:50 PM,Rm 135 Vari Hall
ACTG 11,Introduction to Financial Accounting,Amanda Badger,4,T Th,8:30 AM,10:10 AM,Rm 207 Lucas Hall
ACTG 11,Introduction to Financial Accounting,Matthew Cedergren,4,M W F,11:45 AM,12:50 PM,Rm 207 Lucas Hall
ACTG 11,Introduction to Financial Accounting,Matthew Cedergren,4,M W F,9:15 AM,10:20 AM,Rm 208 Lucas Hall
ACTG 11,Introduction to Financial Accounting,Matthew Cedergren,4,M W F,8:00 AM,9:05 AM,Rm 208 Lucas Hall
ACTG 11,Introduction to Financial Accounting,Stacey Ritter,4,M W,3:30 PM,5:15 PM,Rm 206 Lucas Hall
ACTG 11,Introduction to Financial Accounting,Stacey Ritter,4,M W F,1:00 PM,2:05 PM,Rm 206 Lucas Hall
ACTG 11,Introduction to Financial Accounting,Stacey Ritter,4,M W F,11:45 AM,12:50 PM,Rm 206 Lucas Hall
ACTG 11,Introduction to Financial Accounting,Stacey Ritter,4,M W F,9:15 AM,10:20 AM,Rm 209 Lucas Hall
ACTG 11,Introduction to Financial Accounting,Stacey Ritter,4,M W F,8:00 AM,9:05 AM,Rm 209 Lucas Hall
ACTG 11A,Introduction to Financial Accounting,Amanda Badger,4,T Th,2:00 PM,3:40 PM,Rm 135 Vari Hall
ACTG 12,Introduction to Managerial Accounting,Wendy Donohoe,4,M W F,9:15 AM,10:20 AM,
PSYC 1,General Psychology I,,4,T Th,8:30 AM,10:10 AM,Rm 120 Alumni Science Hall
ENGR 35,Career Launch,Jessica Kuczenski,1,M,1:00 PM,2:05 PM,
POLI 2,Introduction to Comparative Politics,Farid Senzai,4,T Th,12:10 PM,1:50 PM,Rm 111 Kenna Hall
POLI 2,Introduction to Comparative Politics,Jane Curry,4,T Th,8:30 AM,10:10 AM,Rm 105 Kenna Hall
POLI 2,Introduction to Comparative Politics,Eric Mosinger,4,T Th,8:30 AM,10:10 AM,Rm 111 Kenna Hall
POLI 2,Introduction to Comparative Politics,,4,M W F,11:45 AM,12:50 PM,Rm 105 Kenna Hall
POLI 2,Introduction to Comparative Politics,Diana Morlang,4,M W F,9:15 AM,10:20 AM,Rm 105 Kenna Hall
ENGR 110,Community Based Engineering Design,Jessica Kuczenski,3,T,2:15 PM,5:00 PM,
ANTH 172,Anthropology of Aging,Samantha Grace,5,M W F,11:45 AM,12:50 PM,Rm 201 O'Connor Hall
ANTH 185,Anthropologies of Latin America: Culture,Veronica Miranda,5,T Th,10:20 AM,12:00 PM,RM 3301 Sobrato Campus for Discovery and Innovation (STEM)
ANTH 190,Advanced Seminar in Anthropology,,5,,,,
ANTH 198,Anthropology Proseminar,Ryan Anderson,5,M,2:15 PM,5:15 PM,Rm 333 O'Connor Hall
ARTH 11A,Cultures and Ideas I (Art of the Indian Subcontinent),Shriya Sridharan,4,M W F,10:30 AM,11:35 AM,Rm 208 Edward M. Dowd Art & Art History
ARTH 11A,Cultures and Ideas I (Art of the Indian Subcontinent),Shriya Sridharan,4,M W F,11:45 AM,12:50 PM,Rm 208 Edward M. Dowd Art & Art History
ARTH 11A,Cultures and Ideas I (Venice: Crossroads World),Blake DeMaria,4,T Th,8:30 AM,10:10 AM,Rm 208 Edward M. Dowd Art & Art History
ARTH 11A,Cultures and Ideas I (Venice: Crossroads World),Blake DeMaria,4,T Th,10:20 AM,12:00 PM,Rm 208 Edward M. Dowd Art & Art History
ENGR 173,Introduction to Business Fundamentals,,1,M,5:10 PM,7:00 PM,
ENGR 180,Marine Operations,Michael Neumann,1,,,,
ENGR 188,Co-op Education,,1,,,,
ENGR 194,Senior Design Project I,Jessica Kuczenski,2,,,,
MECH 10L,Engineering Graphics and Computer-Aided Design I,T. Calvin Tszeng,1,T,11:00 AM,1:45 PM,Rm 202 Heafey Hall
MECH 10L,Engineering Graphics and Computer-Aided Design I,T. Calvin Tszeng,1,T,2:15 PM,5:00 PM,Rm 202 Heafey Hall
MECH 10L,Engineering Graphics and Computer-Aided Design I,T. Calvin Tszeng,1,Th,11:00 AM,1:45 PM,Rm 202 Heafey Hall
MECH 10L,Engineering Graphics and Computer-Aided Design I,Sthanu Mahadev,1,Th,2:15 PM,5:00 PM,Rm 202 Heafey Hall
MECH 10L,Engineering Graphics and Computer-Aided Design I,Sthanu Mahadev,1,M,2:15 PM,5:00 PM,Rm 202 Heafey Hall
MECH 10L,Engineering Graphics and Computer-Aided Design I,Sthanu Mahadev,1,W,2:15 PM,5:00 PM,Rm 202 Heafey Hall
MECH 10L,Engineering Graphics and Computer-Aided Design I,Sthanu Mahadev,1,F,2:15 PM,5:00 PM,Rm 202 Heafey Hall
ARTH 23,Art and Revolution: Europe and the United States,,4,T Th,3:50 PM,5:30 PM,Rm 208 Edward M. Dowd Art & Art History
MECH 11,Materials and Manufacturing Processes,Panthea Sepehrband,4,T Th,8:30 AM,10:10 AM,RM 1301 Sobrato Campus for Discovery and Innovation (STEM)
ARTH 25,Indigenous Visions: Introduction to the Arts of the Americas,Gaby Greenlee,4,M W F,9:15 AM,10:20 AM,Rm 208 Edward M. Dowd Art & Art History
ARTH 123,The Global Renaissance,Blake DeMaria,5,W,3:30 PM,6:30 PM,Rm 208 Edward M. Dowd Art & Art History
ARTH 185,Post-Modern and Contemporary Art,,5,T Th,12:10 PM,1:50 PM,Rm 208 Edward M. Dowd Art & Art History
ARTS 43,Basic Painting,Robert Detweiler,4,M W,1:00 PM,3:20 PM,Rm 320 Edward M. Dowd Art & Art History
ARTS 43,Basic Painting,Ryan Reynolds,4,T Th,11:00 AM,1:20 PM,Rm 320 Edward M. Dowd Art & Art History
ARTS 46,Basic Watercolor,Robert Detweiler,4,M W,3:30 PM,5:50 PM,Rm 314 Edward M. Dowd Art & Art History
ARTS 50,Film and Darkroom Photography,Takeshi Moro,4,M W,10:30 AM,12:50 PM,Rm 310 Edward M. Dowd Art & Art History
ARTS 50,Film and Darkroom Photography,Takeshi Moro,4,M W,1:00 PM,3:20 PM,Rm 310 Edward M. Dowd Art & Art History
ARTS 57,Digital Photography,Renee Billingslea,4,T Th,11:00 AM,1:20 PM,Rm 302 Edward M. Dowd Art & Art History
ARTS 57,Digital Photography,Renee Billingslea,4,T Th,2:00 PM,4:20 PM,Rm 302 Edward M. Dowd Art & Art History
ARTS 63,Basic Ceramic Sculpture,Francisco Jimenez,4,T Th,11:00 AM,1:20 PM,Rm 118 Edward M. Dowd Art & Art History
ARTS 63,Basic Ceramic Sculpture,,4,T Th,4:30 PM,6:50 PM,Rm 118 Edward M. Dowd Art & Art History
ARTS 64,Basic Sculpture,Ryan Carrington,4,M W,8:00 AM,10:20 AM,Rm 110 Edward M. Dowd Art & Art History
ARTS 74,Basic Digital Imaging,,4,M W,8:00 AM,10:20 AM,Rm 302 Edward M. Dowd Art & Art History
ARTS 74,Basic Digital Imaging,,4,M W,10:30 AM,12:50 PM,Rm 302 Edward M. Dowd Art & Art History
ARTS 74,Basic Digital Imaging,,4,,,,
ARTS 74,Basic Digital Imaging,Danielle Heitmuller,4,T Th,2:00 PM,4:20 PM,Rm 304 Edward M. Dowd Art & Art History
ARTS 164,Intermediate Sculpture,Ryan Carrington,5,M W,10:30 AM,12:50 PM,Rm 110 Edward M. Dowd Art & Art History
ARTS 190,Senior Portfolio Production,Ryan Carrington,5,M W,1:00 PM,3:20 PM,Rm 302 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,,4,M W F,10:30 AM,11:35 AM,Rm 304 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,,4,M W F,9:15 AM,10:20 AM,Rm 128 Vari Hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,1:00 PM,2:05 PM,Rm 304 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,,4,M W F,4:45 PM,5:50 PM,Rm 109 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,3:30 PM,4:35 PM,Rm 134 Vari Hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,6:00 PM,7:05 PM,Rm 210 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,4:45 PM,5:50 PM,Rm 105 Alameda hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,7:15 PM,8:20 PM,Rm 210 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,6:00 PM,7:05 PM,Rm 304 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,,4,M W F,3:30 PM,4:35 PM,Rm 102 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,6:00 PM,7:05 PM,Rm 110 O'Connor Hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,4:45 PM,5:50 PM,Rm 134 Vari Hall
ENGL 1A,Critical Thinking and Writing I,,4,M W F,3:30 PM,4:35 PM,RM 1301 Sobrato Campus for Discovery and Innovation (STEM)
ENGL 1A,Critical Thinking and Writing I,,4,M W F,2:15 PM,3:20 PM,Rm 304 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,,4,M W,5:25 PM,7:10 PM,
ENGL 1A,Critical Thinking and Writing I,,4,M W,3:30 PM,5:15 PM,Rm 304 Edward M. Dowd Art & Art History
ENGL 1A,Critical Thinking and Writing I,,4,M W F,10:30 AM,11:35 AM,Rm 110 O'Connor Hall
