courseSection,courseName,instructor,units,days,startTimes,endTimes,location
RSOC 99,Sociology of Religion,Jaime Wright,4,T Th,3:50 PM,5:30 PM,Rm 105 Kenna Hall
RSOC 99,Sociology of Religion,Jaime Wright,4,T Th,2:00 PM,3:40 PM,Rm 308 Kenna Hall
RSOC 111,Inventing Religion in America,James Bennett,5,T Th,10:20 AM,12:00 PM,Rm 007 Casa Italiana Residence
RSOC 113,Buddhism in America,,5,T Th,5:40 PM,7:20 PM,
RSOC 175,Mapping Living Religion,Jaime Wright,5,T Th,7:30 PM,9:10 PM,
RSOC 175,Mapping Living Religion,Elizabeth Drescher,5,T Th,5:40 PM,7:20 PM,
RSOC 184,Race and Religion in the United States,,5,,,,
RSOC 184,Race and Religion in the United States,,5,,,,
RSOC 184,Race and Religion in the United States,Bryson White,5,T Th,12:10 PM,1:50 PM,Rm 104 Kenna Hall
SCTR 19,Religions of the Book,Roberto Mata,4,T Th,10:20 AM,12:00 PM,Rm 104 Kenna Hall
SCTR 19,Religions of the Book,Cathleen Chopra-McGowan,4,M W F,10:30 AM,11:35 AM,Rm 108 Alameda hall
SCTR 39,Biblical Women and Power,Diana Gibson,4,M W F,11:45 AM,12:50 PM,Rm 008 Casa Italiana Residence
SCTR 124,The Bible and Migration,Roberto Mata,5,T Th,2:00 PM,3:40 PM,Rm 302 Alumni Science Hall
SCTR 128,Human Suffering and Hope,Diana Gibson,5,M W F,2:15 PM,3:20 PM,Rm 008 Casa Italiana Residence
TESP 2,Magicians,Sally Vance-Trembath,4,T Th,12:10 PM,1:50 PM,Rm 301 Alumni Science Hall
TESP 4,The Christian Tradition,Eugene Schlesinger,4,M W,3:30 PM,5:15 PM,Rm 109 Kenna Hall
TESP 4,The Christian Tradition,,4,M W F,1:00 PM,2:05 PM,Rm 109 Kenna Hall
TESP 4,The Christian Tradition,Elyse Raby,4,M W F,11:45 AM,12:50 PM,Rm 119 Music And Dance
TESP 4,The Christian Tradition,Lynn Hillberg,4,M W F,11:45 AM,12:50 PM,Rm 101 Alameda hall
TESP 4,The Christian Tradition,Lynn Hillberg,4,M W F,9:15 AM,10:20 AM,Rm 109 Kenna Hall
TESP 4,The Christian Tradition,,4,M W F,2:15 PM,3:20 PM,
TESP 4,The Christian Tradition,Janet Giddings,4,M W F,8:00 AM,9:05 AM,Rm 107 Kenna Hall
TESP 4,The Christian Tradition,,4,M W F,8:00 AM,9:05 AM,Rm 109 Kenna Hall
TESP 4,The Christian Tradition,Karen Peterson-Iyer,4,T Th,10:20 AM,12:00 PM,Rm 108 Alameda hall
TESP 4,The Christian Tradition,Pearl Barros,4,T Th,8:30 AM,10:10 AM,Rm 107 Kenna Hall
TESP 4,The Christian Tradition,Bryson White,4,T Th,8:30 AM,10:10 AM,Rm 109 Kenna Hall
TESP 50,Catholic Theology: Foundations,Elyse Raby,4,M W F,2:15 PM,3:20 PM,Rm 105 Kenna Hall
TESP 50,Catholic Theology: Foundations,Robert Scholla,4,M W F,10:30 AM,11:35 AM,Rm 308 Kenna Hall
TESP 50,Catholic Theology: Foundations,Robert Scholla,4,M W F,8:00 AM,9:05 AM,Rm 308 Kenna Hall
TESP 65,U.S. Hispanic Theology,,4,M W,3:30 PM,5:15 PM,Rm 105 Kenna Hall
TESP 78,East Asian Literature and Christianity,,4,,,,
TESP 110,Theologies of Freedom and Justice,Karl Lampley,5,M W,4:45 PM,6:30 PM,
TESP 119R,RSS: Theology,Karen Peterson-Iyer,5,T Th,2:00 PM,3:40 PM,Rm 122 Edward M. Dowd Art & Art History
TESP 124,Theology of Marriage,Sally Vance-Trembath,5,T Th,2:00 PM,3:40 PM,Rm 301 Alumni Science Hall
TESP 131,Feminist Theologies,Pearl Barros,5,T Th,2:00 PM,3:40 PM,Rm 207 Daly Science 200
TESP 185,Theology of Karl Rahner,Paul Schutz,5,M W,3:30 PM,5:15 PM,Rm 003 Casa Italiana Residence
TESP 196,Rahner: Proseminar,,5,,,,
SOCI 1,Principles of Sociology,Cara Chiaraluce,4,M W F,9:15 AM,10:20 AM,Rm 163 Graham Hall
SOCI 30,Self,,4,M W,3:30 PM,5:15 PM,
SOCI 33,Social Problems in the United States,,4,,,,
SOCI 35,Introduction to Research,Laura Nichols,4,T Th,8:30 AM,10:50 AM,
SOCI 118,Qualitative Methods,Molly King,5,T Th,10:20 AM,12:00 PM,Rm 108 Edward M. Dowd Art & Art History
